Image,kaomoji
foodlinebot\images\118.jpg,(╯⊙ ⊱ ⊙╰ )
foodlinebot\images\119.jpg,(´◓ｑ◔｀)
foodlinebot\images\120.jpg,(๑ ^ ₃•๑)
foodlinebot\images\121.jpg,(◞‸◟)
foodlinebot\images\122.jpg,(´∩ω∩｀)
foodlinebot\images\123.jpg,(ㆆᴗㆆ)
foodlinebot\images\124.jpg,ԅ(¯﹃¯ԅ)
foodlinebot\images\125.jpg,（¯﹃¯）
foodlinebot\images\126.jpg,(๑•́ ₃ •̀๑)
foodlinebot\images\127.jpg,(..Ծ 3 Ծ..)
foodlinebot\images\128.jpg,( ͡° ͜ʖ ͡ °)
foodlinebot\images\129.jpg,(*°ω°*ฅ)*
foodlinebot\images\130.jpg,(-`ェ´-╬)
foodlinebot\images\131.jpg,(´σ-`)
foodlinebot\images\132.jpg,(›´ω`‹ )
foodlinebot\images\133.jpg,(ง๑ •̀_•́)ง
foodlinebot\images\134.jpg,(ò_óˇ)
foodlinebot\images\135.jpg,(´-ω-`*)
foodlinebot\images\136.jpg,( ¤̴̶̷̤́ ‧̫̮ ¤̴̶̷̤̀ )
foodlinebot\images\137.jpg,(´-ωก`)
foodlinebot\images\138.jpg,( ･ิω･ิ)
foodlinebot\images\139.jpg,(•ิ˓̭ •ิ )
foodlinebot\images\140.jpg,(ヾﾉ･ω･`)
foodlinebot\images\141.jpg,( º﹃º )
foodlinebot\images\142.jpg,(•‾⌣‾•)
foodlinebot\images\143.jpg,(′～‵〞)
foodlinebot\images\144.jpg,(*’ｰ’*)
foodlinebot\images\145.jpg,(=m=)
foodlinebot\images\146.jpg,( ՞ټ՞)
foodlinebot\images\147.jpg,(’へ’)
foodlinebot\images\148.jpg,(´◔ ₃ ◔`)
foodlinebot\images\149.jpg,(｡>﹏<)
foodlinebot\images\150.jpg,(╯∀╰)
